,id,name,category_id,arabic_name
61787,2685574,"Collards, raw",11.0,collards ، الخام
61788,2685575,"Brussels sprouts, raw",11.0,براعم بروكسل ، الخام
61789,2685576,"Beets, raw",11.0,البنجر ، الخام
61790,2685577,"Eggplant, raw",11.0,الباذنجان ، الخام
61791,2685578,"Tomatoes, whole, canned, solids and liquids, with salt added",11.0,الطماطم ، كاملة ، معلبة ، المواد الصلبة والسوائل ، مع الملح إضافة
61792,2685579,"Tomato, sauce, canned, with salt added",11.0,الطماطم ، الصلصة ، المعلبة ، مع الملح إضافة
61793,2685580,"Tomato, paste, canned, without salt added",11.0,الطماطم ، لصق ، معلبة ، بدون ملح إضافة
61794,2685581,"Tomatoes, crushed, canned",11.0,الطماطم ، محطمة ، معلبة
61795,2685582,"Tomato, puree, canned",11.0,الطماطم ، هريس ، معلبة
63975,2710815,"Apricot, with skin, raw",9.0,المشمش ، مع الجلد ، الخام
63976,2710816,"Melons, honeydew, raw",9.0,البطيخ ، العسل ، الخام
63977,2710817,"Plantains, ripe, raw",9.0,الموز ، الناضجة ، الخام
63978,2710818,"Plantains, underripe, raw",9.0,الموز ، underripe ، الخام
63979,2710819,"Chia seeds, dry, raw",20.0,بذور شيا ، جافة ، خام
63980,2710820,"Bulgur, dry, raw",20.0,بولجور ، جاف ، الخام
63981,2710821,"Wild rice, dry, raw",20.0,الأرز البري ، جاف ، الخام
63982,2710822,"Arugula, baby, raw",11.0,جرجير ، طفل ، الخام
63983,2710823,"Asparagus, green, raw",11.0,الهليون ، الأخضر ، الخام
63984,2710824,"Avocado, Hass, peeled, raw",9.0,الأفوكادو ، هاس ، مقشر ، خام
63985,2710825,"Rice, black, unenriched, raw",20.0,الذرة ، الحلو والأصفر والأبيض ، طازجة ، الخام
63986,2710826,"Corn, sweet, yellow and white kernels,  fresh, raw",11.0,الذرة ، الحلو والأصفر والأبيض ، طازجة ، الخام
63987,2710827,"Einkorn, grain, dry, raw",20.0,einkorn ، الحبوب ، الجافة ، الخام
63988,2710828,"Farro, pearled, dry, raw",20.0,فارو ، بير ، جاف ، خام
63989,2710829,"Fonio, grain, dry, raw",20.0,فونيو ، الحبوب ، جافة ، خام
63990,2710830,"Khorasan, grain, dry, raw",20.0,خوراسان ، الحبوب ، جافة ، خام
63991,2710831,"Kiwifruit (kiwi), green, peeled, raw",9.0,Kiwifruit (Kiwi) ، الأخضر ، المقشر ، الخام
63992,2710832,"Mandarin, seedless, peeled, raw",9.0,الماندرين ، بدون بذور ، مقشر ، الخام
63993,2710833,"Mango, Tommy Atkins, peeled, raw",9.0,المانجو ، تومي أتكينز ، مقشر ، الخام
63994,2710834,"Mango, Ataulfo, peeled, raw",9.0,المانجو ، ataulfo ​​، مقشر ، الخام
63995,2710835,"Corn flour, masa harina, white or yellow, dry, raw",20.0,دقيق الذرة ، ماسا هارينا ، أبيض أو أصفر ، جاف ، خام
63996,2710836,"Pear, Anjou, green, with skin, raw",9.0,الكمثرى ، أنجو ، أخضر ، مع الجلد ، الخام
63997,2710837,"Plum, black, with skin, raw",9.0,البرقوق ، الأسود ، مع الجلد ، الخام
63998,2710838,"Rice, red, unenriched, dry, raw",20.0,الأرز ، الأحمر ، غير المخصب ، الجاف ، الخام
63999,2710839,"Sorghum bran, white, unenriched, dry, raw",20.0,نخالة الذرة الرفيعة ، أبيض ، غير مخصب ، جاف ، خام
64000,2710840,"Sorghum flour, white, pearled, unenriched, dry, raw",20.0,دقيق الذرة ، أبيض ، بير ، غير مخصب ، جاف ، الخام
64001,2710841,"Sorghum grain, white, pearled, unenriched, dry, raw",20.0,حبة الذرة الرفيعة ، بيضاء ، بير ، غير مخصصة ، جافة ، خام
64002,2710842,"Sorghum, whole grain, white, dry, raw",20.0,الذرة الرفيعة ، الحبوب الكاملة ، البيضاء ، الجافة ، الخام
64003,2710843,"Plantains, overripe, raw",9.0,الموز ، بشكل كبير ، الخام
70668,2727566,"Chicken, drumstick, meat and skin, raw",5.0,الدجاج والفخذ واللحوم والجلد ، الخام
70669,2727567,"Chicken, thigh, meat and skin, raw",5.0,الدجاج والفخذ واللحوم والجلد ، الخام
70670,2727568,"Chicken, wing, meat and skin, raw",5.0,الدجاج والجناح واللحوم والجلد ، الخام
70671,2727569,"Chicken, breast, meat and skin, raw",5.0,الدجاج والثدي واللحوم والجلد ، الخام
70672,2727570,"Lamb, ground, raw",17.0,الخروف ، الأرض ، الخام
70673,2727571,"Bison, ground, raw",17.0,بيسون ، الأرض ، الخام
70674,2727572,"Beef, short loin (NY strip steak), raw",13.0,لحوم البقر ، loin القصير (NY Strip Steak) ، RAW
70675,2727573,"Beef, tenderloin steak, raw",13.0,لحوم البقر ، شريحة لحم مناقصة ، الخام
70676,2727574,"Beef, top sirloin steak, raw",13.0,لحوم البقر ، شريحة لحم شريحة البحر ، الخام
